Date,oil Price,Usd,Kospi,gold,open,high,low,close,volume,value
2018-03-18,,,,,8667000,9080000,8056000,9018000,20951.810098,1.77E+11
2018-03-19,63.31,1070.54,2491.99,1312.9,9018000,9755000,8870000,9718000,26470.164826,2.45E+11
2018-03-20,64.11,1073.49,2456.8,1316.5,9718000,9996000,9160000,9829000,20520.447028,1.96E+11
2018-03-21,65.39,1071.52,2488.22,1310.6,9826000,10165000,9738000,9919000,16611.833035,1.66E+11
2018-03-22,66.19,1065.15,2494.84,1332,9919000,10050000,9505000,9783000,12988.836983,1.27E+11
2018-03-23,66.4,1081.21,2446.73,1329,9779000,9850000,9253000,9847000,15006.678183,1.43E+11
2018-03-24,,,,,9847000,10000000,9550000,9580000,16804.405745,1.65E+11
2018-03-25,,,,,9580000,9649000,9408000,9477000,11031.075798,1.05E+11
2018-03-26,66.81,1084.3,2414.68,1347,9480000,9570000,8801000,9052000,13942.963669,1.28E+11
2018-03-27,66.81,1075.59,2455,1353.6,9054000,9141000,8520000,8651000,14209.637151,1.25E+11
2018-03-28,66.06,1075.13,2425.94,1345,8651000,8886000,8560000,8730000,9953.7299998,86802477741
2018-03-29,65.87,1064.56,2421.7,1329.3,8730000,8766000,7780000,7915000,18276.831288,1.51E+11
2018-03-30,,1063.08,2454.1,,7911000,8090000,7431000,7602000,21297.752147,1.64E+11
2018-03-31,,,,,7602000,7934000,7540000,7697000,13024.445419,1.01E+11
2018-04-01,,,,,7688000,7774000,7087000,7482000,16446.53645,1.22E+11
2018-04-02,66.08,1060.56,2454.72,1330.7,7486000,7851000,7390000,7710000,15765.521766,1.21E+11
2018-04-03,64.97,1057.16,2422.26,1345,7713000,8175000,7643000,8092000,21006.766353,1.67E+11
2018-04-04,64.48,1054.94,2447.97,1336.7,8091000,8120000,7403000,7492000,16809.367225,1.31E+11
2018-04-05,65.17,1058.28,2426.92,1337.1,7492000,7834000,7188000,7408000,32381.002018,2.43E+11
2018-04-06,64.81,1062.63,2420.88,1329.7,7408000,7488000,7125000,7280000,9428.5439995,68879512444
2018-04-07,,,,,7277000,7673000,7232000,7533000,12182.38138,91234343726
2018-04-08,,,,,7533000,7657000,7480000,7622000,11679.058673,88577530198
2018-04-09,65.08,1070.81,2424.15,1338,7621000,7752000,7290000,7450000,16765.039221,1.27E+11
2018-04-10,66.95,1069.71,2439.94,1339.8,7449000,7468000,7263000,7428000,12263.522848,90344438501
2018-04-11,68.29,1064.81,2456.53,1343.1,7428000,7483000,7351000,7429000,13067.555642,96697377106
2018-04-12,68.74,1066.8,2450.95,1356.3,7432000,8280000,7200000,8121000,40389.833305,3.16E+11
2018-04-13,69.29,1071.03,2449.42,1337.6,8125000,8625000,7925000,8375000,29730.020552,2.47E+11
2018-04-14,,,,,8375000,8575000,8120000,8350000,18691.423018,1.57E+11
2018-04-15,,,,,8349000,8710000,8250000,8663000,15472.995249,1.32E+11
